attempt_id,claimed_reg,actual_reg,decision
1,99220041253,99220041253,accept
2,99220041253,99220041253,accept
3,99220041253,99220041253,accept
4,99220041253,99220041253,accept
5,99220041253,99220041253,accept
6,99220041253,99220041253,accept
7,99220041253,99220041253,accept
8,99220041253,99220041253,accept
9,99220041253,99220041253,accept
10,99220041253,99220041253,accept
11,99220041253,99220041253,accept
12,99220041253,99220041253,accept
13,99220041253,99220041253,accept
14,99220041253,99220041253,accept
15,99220041253,99220041253,accept
16,99220041253,99220041253,accept
17,99220041253,99220041253,accept
18,99220041253,99220041253,accept
19,99220041246,99220041246,accept
20,99220041246,99220041246,accept
21,99220041246,99220041246,accept
22,99220041246,99220041246,accept
23,99220041246,99220041246,accept
24,99220041246,99220041246,accept
25,99220041246,99220041246,accept
26,99220041246,99220041246,accept
27,99220041246,99220041246,accept
28,99220041246,99220041246,accept
29,99220041246,99220041246,accept
30,99220041246,99220041246,accept
31,99220041246,99220041246,accept
32,99220041246,99220041246,accept
33,99220041246,99220041246,accept
34,99220041246,99220041246,accept
35,99220041246,99220041246,accept
36,99220041246,99220041246,accept
37,99220041389,99220041389,accept
38,99220041389,99220041389,accept
39,99220041389,99220041389,accept
40,99220041389,99220041389,accept
41,99220041389,99220041389,accept
42,99220041389,99220041389,accept
43,99220041389,99220041389,accept
44,99220041389,99220041389,accept
45,99220041389,99220041389,accept
46,99220041389,99220041389,accept
47,99220041389,99220041389,accept
48,99220041389,99220041389,accept
49,99220041389,99220041389,accept
50,99220041389,99220041389,accept
51,99220041389,99220041389,accept
52,99220041389,99220041389,accept
53,99220041389,99220041389,accept
54,99220042086,99220042086,accept
55,99220042086,99220042086,accept
56,99220042086,99220042086,accept
57,99220042086,99220042086,accept
58,99220042086,99220042086,accept
59,99220042086,99220042086,accept
60,99220042086,99220042086,accept
61,99220042086,99220042086,accept
62,99220042086,99220042086,accept
63,99220042086,99220042086,accept
64,99220042086,99220042086,accept
65,99220042086,99220042086,accept
66,99220042086,99220042086,accept
67,99220042086,99220042086,accept
68,99220042086,99220042086,accept
69,99220042086,99220042086,accept
70,99220042086,99220042086,accept
71,99220041253,99220041253,reject
72,99220041389,99220041389,reject
73,99220041253,99220041389,accept
74,99220041389,99220041253,reject
75,99220042086,99220041246,reject
